# Result of 'intser'
# Date/time = Wed Jun 14 11:58:39 CEST 2017
# Data set list (full path) = /Volumes/Data/yar/Dropbox/_eth2/data_NMR/spectra/170310_IN70a_pR02_co-UP1_303K_600/integr_datasets_31P_PNM.txt
# Region to calibrate = 0
# Value of region to calibrate = 20.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   3.4714285714285715  1.5571428571428572  0.0  0.0  # for region 1
#   0.42857142857142855  -2.676190476190476  0.0  0.0  # for region 2
#   -4.3238095238095235  -5.352380952380952  0.0  0.0  # for region 3
#   -5.352380952380952  -5.390476190476191  0.0  0.0  # for region 4
#   -5.390476190476191  -5.804761904761905  0.0  0.0  # for region 5
#   -9.101442036015632  -9.806884238970339  0.0  0.0  # for region 6
#   -9.80952380952381  -10.433333333333334  0.0  0.0  # for region 7
#   -10.433333333333334  -11.219047619047618  0.0  0.0  # for region 8
#   -17.60952380952381  -19.052380952380954  0.0  0.0  # for region 9
#   -19.052380952380954  -19.714285714285715  0.0  0.0  # for region 10

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4; Integral 5; Integral 6; Integral 7; Integral 8; Integral 9;
10;4.339548336975325;2.102450352705422;29.74530293933997;0.2788315340382747;2.27592101944235;2.4374159525169925;33.474582813770425;1.3197372454438214;34.193332029128335;0.5641032579002465;
11;4.728056812078038;2.510295862064771;29.014110944130035;0.23496436776956098;2.396864293663841;2.532526976371181;32.37120137888546;1.5645706812041;33.29323649567332;0.30337610065581744;
12;5.499719976025639;2.832748089350395;28.952237198530884;0.28380561074694105;2.4234418334274386;2.4175388407965817;31.953177261183153;1.5176630649246259;32.91825889664174;0.3773650933151674;
13;5.8205390382462125;3.65328337809993;27.755253525585584;0.26989025144301576;2.4061461904121346;2.597036547555071;31.06838698934505;1.7162910230644248;32.11774385734623;0.4597982718251296;
14;6.5310676667434375;3.7840185571573923;27.227953481338744;0.3109764386428823;2.704900441192568;2.5624204432630955;30.747091793432116;1.665184201379604;31.549927629698274;0.690504252808841;
15;6.776687603426363;4.538430916461234;26.67395470448623;0.32568421186304364;2.8642019811345554;2.567661225155487;29.86162934503028;1.5379626128271302;30.950875324246667;0.4778999408757042;
16;7.159774826425989;4.717471826427987;25.775950548869595;0.3518017451929741;2.640764159646604;2.4723817452897765;29.23800832975346;1.7263843789009845;30.410539033841424;0.7933722214616251;
17;7.815235617644398;4.845177542663731;25.552147038998925;0.3279465677537134;2.817290451300279;2.5436225529387286;28.46595184601978;1.7896489772837134;29.48864933528922;0.7506427289616543;
18;8.253587876415876;5.659378330782035;24.828590020312078;0.3269790602161763;2.6340354264011085;2.608436293531825;27.891899142940527;1.6851973144620556;28.789673533742192;1.015997703656536;
19;8.78669750556132;5.740034892179296;24.362225334287107;0.3256739568186716;2.831064701795924;2.4089378712151612;27.27958834809434;2.1399856024936303;28.159641970149163;0.8520036414888387;
20;9.01133990892839;6.132590557621193;23.892596348939488;0.35018243692255474;2.9463820276826813;2.527299859297184;26.762102254582114;2.072002366215788;28.012346870656856;0.4947824629480455;
21;9.956658776474047;6.809449548517402;23.256854712522564;0.34289640920712317;2.82092472835707;2.5253617136292172;25.970637595593605;2.076907298855549;27.259056936813092;0.6685403468395622;
22;10.341816440609449;7.047758949145951;22.49556043234632;0.3341709649937637;3.0462986471390816;2.6567936265244785;25.741979964676144;1.9430862347837492;26.535543350554168;0.871288336498454;
23;10.53566064326723;7.038083270237442;21.977709378204434;0.35532415656691335;3.0121570459961964;2.600004950640551;24.89046259899684;2.0123947200439387;26.134068125318393;0.9264895734221307;
24;11.482701446066574;7.839858612828684;21.67310105485554;0.3629476496486609;3.273643304260672;2.5567460980953167;24.536828170846597;2.1042479717675535;25.186514328134344;0.923253342154674;
25;11.89583025127169;8.093198885194566;21.274635132427054;0.4045647577986234;3.059200179305505;2.547209438841915;23.925813779612017;2.441170113087729;24.933043183183354;1.0764895867318558;
26;11.700060422808017;8.98800578573894;20.70639659281693;0.34859460271710885;3.1802447291481197;2.549028713576482;23.492471171498856;2.0308749888202624;24.216219521483406;1.0669732644121601;
27;12.56468092456227;9.076212354725634;20.110799411695396;0.3942206364524096;3.3690746542693084;2.77968773378469;22.86943703510849;2.1058571994033852;23.06387676687613;0.8768188726431609;
28;13.130311712916582;9.18618920094279;19.28819880305854;0.4044485481828692;3.3906117142493915;2.492958477392655;22.258223612196016;2.2836700311052494;23.314860109332077;0.9785230700516249;
29;13.501482591922368;9.409040001757916;19.066784611873082;0.3408738868459178;3.3407880385230704;2.609255788645012;21.65776802067627;2.1436487468792285;22.430668139593934;1.1362467641988754;
30;13.639296901010619;9.716060206646288;18.60464102971937;0.41686558628;3.523965644926551;2.6774913745501547;21.24616719700664;2.0669963605964874;22.223999924272526;1.0838373831153831;
